lamb,seed,n_unobs,n_pos,auc,sib_conv
0.2294,18,210,79,0.9808677166876026,False
0.2294,19,210,85,0.9913411764705882,False
0.2294,20,210,22,0.9903288201160542,False
0.2294,21,210,57,0.9792454993693384,False
0.2294,22,210,70,0.9997959183673468,False
0.2294,23,210,49,0.9797185955127392,False
0.2294,24,210,82,0.9713224085365854,False
0.2294,25,210,34,0.9809491978609626,False
0.2294,26,210,31,0.9944134078212292,False
0.2294,27,210,65,0.9980901856763924,True
0.2294,28,210,82,0.9893292682926828,False
0.2294,29,210,35,1.0,False
0.2294,30,210,66,0.9950547138047138,False
0.2294,31,210,39,0.9980506822612084,False
0.2294,32,210,31,0.9990989367453595,False
0.2294,33,210,47,0.9990862811643388,False
0.2294,34,210,62,0.9829991281604183,False
0.2294,35,210,17,0.9899420908259676,True
0.2294,36,210,59,0.9805814345044336,True
0.2294,37,210,64,0.9966823630136986,False
0.2294,38,210,48,0.9930555555555556,True
0.2294,39,210,60,0.9962222222222222,True
0.2294,40,210,57,0.9558536865038412,False
0.2294,41,210,60,0.991111111111111,False
0.2294,42,210,36,0.9985632183908044,False
0.2294,43,210,60,0.9994444444444446,False
0.2294,44,210,70,0.9879591836734694,False
0.2294,45,210,80,0.9872115384615384,False
0.2294,46,210,59,0.991918284880458,False
0.2294,47,210,16,0.9987113402061856,False
0.2294,48,210,64,0.9975385273972602,False
0.2294,49,210,57,0.9980506822612086,False
0.2294,50,210,65,0.9955437665782492,False
0.3387,1,210,83,0.9926003225500426,False
0.3387,2,210,115,0.9956064073226544,False
0.3387,3,210,85,0.9654588235294118,False
0.3387,4,210,65,0.9814323607427056,False
0.3387,5,210,45,1.0,False
0.3387,6,210,80,0.9944230769230772,False
0.3387,7,210,58,0.9978448275862069,False
0.3387,8,210,16,1.0,True
0.3387,9,210,97,0.9981753489645104,False
0.3387,10,210,48,0.9958847736625516,False
0.3387,11,210,48,0.9943415637860082,False
0.3387,12,210,100,0.9932727272727272,False
0.3387,13,210,100,0.9888181818181816,False
0.3387,14,210,79,0.9877282829258868,False
0.3387,15,210,78,0.8662587412587412,False
0.3387,16,210,72,0.998087761674718,False
0.3387,17,210,41,0.9958146918747294,False
0.3387,18,210,95,0.9980778032036614,False
0.3387,19,210,109,0.9771096375692616,False
0.3387,20,210,72,0.9993961352657004,True
0.3387,21,210,47,0.9930818431014228,False
0.3387,22,210,64,0.994220890410959,False
0.3387,23,210,68,0.9727630488815244,False
0.3387,24,210,135,0.9871604938271604,False
0.3387,25,210,69,0.9516908212560388,False
0.3387,26,210,78,0.9986402486402488,False
0.3387,27,210,77,0.999804706571624,False
0.3387,28,210,59,0.9986530474800764,False
0.3387,29,210,95,0.993867276887872,False
0.3387,30,210,49,0.9969577893269108,False
0.3387,31,210,142,0.9327879038939518,False
0.3387,32,210,64,0.9992508561643836,False
0.3387,33,210,73,0.9928007199280072,False
0.3387,34,210,74,0.9705882352941176,False
0.3387,35,210,78,0.999902874902875,False
0.3387,36,210,44,0.9909638554216866,False
0.3387,37,210,86,0.9749624906226556,False
0.3387,38,210,37,0.9932041868458054,False
0.3387,39,210,58,0.9970508166969148,False
0.3387,40,210,42,0.9990079365079364,False
0.3387,41,210,135,0.9928888888888888,False
0.3387,42,210,33,0.9984591679506932,False
0.3387,43,210,46,0.9923117709437964,False
0.3387,44,210,105,0.98140589569161,False
0.3387,45,210,52,0.994157740993184,False
0.3387,46,210,94,0.9928466617754952,False
0.3387,47,210,88,0.9882637853949328,True
0.3387,48,210,73,0.9989001099890013,False
0.3387,49,210,37,0.9959381346664584,False
0.3387,50,210,55,0.9960117302052786,False
0.5,1,210,89,0.999071408673043,False
0.5,2,210,78,0.9987373737373736,False
0.5,3,210,98,0.9958090379008748,False
0.5,4,210,85,0.9917176470588236,False
0.5,5,210,111,0.997997997997998,False
0.5,6,210,113,0.999817534896451,False
0.5,7,210,156,0.9952516619183286,False
0.5,8,210,122,0.9997205663189268,False
0.5,9,210,130,0.986346153846154,False
0.5,10,210,116,0.9958730741012471,False
0.5,11,210,129,0.989376973873098,False
0.5,12,210,147,0.9865025375229456,False
0.5,13,210,159,0.9975336046368232,False
0.5,14,210,93,0.9827221762705634,False
0.5,15,210,137,0.9803019698030196,False
0.5,16,210,123,0.9536491916643304,False
0.5,17,210,80,0.9936538461538462,False
0.5,18,210,130,0.9982692307692308,False
0.5,19,210,101,0.9912798619311473,False
0.5,20,210,87,0.997289972899729,False
0.5,21,210,93,0.9986214502343534,False
0.5,22,210,161,0.9601977436937508,False
0.5,23,210,155,0.992258064516129,False
0.5,24,210,151,0.9207542934111572,False
0.5,25,210,136,0.9833068362480126,False
0.5,26,210,79,0.9988404676780364,False
0.5,27,210,134,0.9937156323644932,False
0.5,28,210,59,1.0,False
0.5,29,210,100,0.968,False
0.5,30,210,120,0.9853703703703705,False
0.5,31,210,71,0.997365487891377,False
0.5,32,210,141,0.9971220063727,False
0.5,33,210,107,1.0,False
0.5,34,210,122,0.9932004470938898,False
0.5,35,210,121,0.9986071130095644,False
